Match_ID,Date,Venue,Toss_Winner,Toss_Decision,Match_Winner,Win_Margin,First_Innings_Score,Second_Innings_Score,Player_of_Match,Powerplay_Scores,Middle_Overs_Scores,Death_Overs_Scores,Team1,Team2
335982,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,140.0,222,82.0,BB McCullum,61,97,64,Royal Challengers Bangalore,Kolkata Knight Riders
335983,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,33.0,240,207.0,MEK Hussey,53,116,71,Kings XI Punjab,Chennai Super Kings
335984,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Daredevils,9.0,129,132.0,MF Maharoof,40,66,23,Delhi Daredevils,Rajasthan Royals
335985,2008-04-20,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,5.0,165,166.0,MV Boucher,47,71,47,Mumbai Indians,Royal Challengers Bangalore
335986,2008-04-20,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders,5.0,110,112.0,DJ Hussey,39,43,28,Kolkata Knight Riders,Deccan Chargers
335987,2008-04-21,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,6.0,166,168.0,SR Watson,54,74,38,Rajasthan Royals,Kings XI Punjab
335988,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,9.0,142,143.0,V Sehwag,25,57,60,Deccan Chargers,Delhi Daredevils
335989,2008-04-23,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,6.0,208,202.0,ML Hayden,53,105,50,Chennai Super Kings,Mumbai Indians
335990,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,3.0,214,217.0,YK Pathan,58,102,54,Deccan Chargers,Rajasthan Royals
335991,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab,66.0,182,116.0,KC Sangakkara,60,86,36,Kings XI Punjab,Mumbai Indians
335992,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,7.0,135,138.0,SR Watson,57,51,27,Royal Challengers Bangalore,Rajasthan Royals
335993,2008-04-26,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings,9.0,147,152.0,JDP Oram,61,47,39,Chennai Super Kings,Kolkata Knight Riders
335994,2008-04-27,Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers,10.0,154,155.0,AC Gilchrist,27,87,40,Mumbai Indians,Deccan Chargers
335995,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,Kings XI Punjab,4.0,158,162.0,SM Katich,45,77,36,Kings XI Punjab,Delhi Daredevils
335996,2008-04-28,M Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,13.0,178,165.0,MS Dhoni,36,80,62,Royal Challengers Bangalore,Chennai Super Kings
335997,2008-04-29,Eden Gardens,Kolkata Knight Riders,bat,Mumbai Indians,7.0,137,138.0,ST Jayasuriya,40,53,44,Kolkata Knight Riders,Mumbai Indians
335998,2008-04-30,Feroz Shah Kotla,Royal Challengers Bangalore,field,Delhi Daredevils,10.0,191,181.0,GD McGrath,58,101,32,Delhi Daredevils,Royal Challengers Bangalore
335999,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,Kings XI Punjab,7.0,164,167.0,SE Marsh,50,69,45,Deccan Chargers,Kings XI Punjab
336000,2008-05-01,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,45.0,196,151.0,SA Asnodkar,45,111,40,Rajasthan Royals,Kolkata Knight Riders
336001,2008-05-02,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Delhi Daredevils,8.0,169,172.0,V Sehwag,47,80,42,Chennai Super Kings,Delhi Daredevils
336002,2008-05-25,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Royal Challengers Bangalore,5.0,165,171.0,R Vinay Kumar,41,90,34,Deccan Chargers,Royal Challengers Bangalore
336003,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Kings XI Punjab,9.0,178,169.0,IK Pathan,49,79,50,Kings XI Punjab,Kolkata Knight Riders
336004,2008-05-04,Dr DY Patil Sports Academy,Delhi Daredevils,field,Mumbai Indians,29.0,162,133.0,SM Pollock,50,68,44,Mumbai Indians,Delhi Daredevils
336005,2008-05-04,Sawai Mansingh Stadium,Chennai Super Kings,bat,Rajasthan Royals,8.0,109,110.0,Sohail Tanvir,38,58,13,Rajasthan Royals,Chennai Super Kings
336006,2008-05-05,M Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,6.0,126,127.0,S Sreesanth,26,76,24,Royal Challengers Bangalore,Kings XI Punjab
336007,2008-05-06,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,Deccan Chargers,7.0,144,148.0,AC Gilchrist,34,61,49,Chennai Super Kings,Deccan Chargers
336008,2008-05-07,Dr DY Patil Sports Academy,Mumbai Indians,field,Mumbai Indians,7.0,103,104.0,A Nehra,48,55,0,Mumbai Indians,Rajasthan Royals
336009,2008-05-08,Feroz Shah Kotla,Chennai Super Kings,field,Chennai Super Kings,4.0,187,188.0,MS Dhoni,50,89,48,Delhi Daredevils,Chennai Super Kings
336010,2008-05-08,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,5.0,129,124.0,SC Ganguly,41,88,0,Kolkata Knight Riders,Royal Challengers Bangalore
336011,2008-05-09,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,8.0,140,141.0,YK Pathan,50,55,35,Rajasthan Royals,Deccan Chargers
336012,2008-05-28,M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,9.0,122,126.0,CRD Fernando,36,68,18,Royal Challengers Bangalore,Mumbai Indians
336013,2008-05-10,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,field,Chennai Super Kings,18.0,181,163.0,L Balaji,53,96,32,Chennai Super Kings,Kings XI Punjab
336014,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,Kolkata Knight Riders,23.0,204,181.0,SC Ganguly,43,93,68,Deccan Chargers,Kolkata Knight Riders
336015,2008-05-11,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,3.0,156,159.0,SR Watson,47,54,55,Rajasthan Royals,Delhi Daredevils
336016,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,Kings XI Punjab,9.0,143,144.0,SE Marsh,50,68,25,Kings XI Punjab,Royal Challengers Bangalore
336017,2008-05-13,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,23.0,133,110.0,Shoaib Akhtar,35,69,29,Kolkata Knight Riders,Delhi Daredevils
336018,2008-05-14,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,9.0,156,158.0,ST Jayasuriya,28,74,54,Mumbai Indians,Chennai Super Kings
336019,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,Kings XI Punjab,41.0,221,180.0,SE Marsh,51,100,70,Kings XI Punjab,Rajasthan Royals
336020,2008-05-15,Feroz Shah Kotla,Deccan Chargers,field,Delhi Daredevils,12.0,194,182.0,A Mishra,48,98,48,Delhi Daredevils,Deccan Chargers
336021,2008-05-16,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,8.0,67,68.0,SM Pollock,27,40,0,Mumbai Indians,Kolkata Knight Riders
336022,2008-05-17,Feroz Shah Kotla,Delhi Daredevils,bat,Kings XI Punjab,6.0,118,94.0,DPMD Jayawardene,68,50,0,Delhi Daredevils,Kings XI Punjab
336023,2008-05-17,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Rajasthan Royals,65.0,197,132.0,GC Smith,51,100,46,Rajasthan Royals,Royal Challengers Bangalore
336024,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Mumbai Indians,25.0,178,153.0,DJ Bravo,57,71,50,Deccan Chargers,Mumbai Indians
336025,2008-05-18,Eden Gardens,Kolkata Knight Riders,bat,Chennai Super Kings,3.0,149,55.0,M Ntini,35,79,35,Kolkata Knight Riders,Chennai Super Kings
336026,2008-05-19,M Chinnaswamy Stadium,Delhi Daredevils,field,Delhi Daredevils,5.0,154,158.0,SP Goswami,41,64,49,Royal Challengers Bangalore,Delhi Daredevils
336027,2008-05-20,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,6.0,147,150.0,YK Pathan,32,74,41,Kolkata Knight Riders,Rajasthan Royals
336028,2008-05-21,Wankhede Stadium,Mumbai Indians,field,Kings XI Punjab,1.0,189,188.0,SE Marsh,43,96,50,Mumbai Indians,Kings XI Punjab
